"X","Age","Gender","Education","Country","Ethnicity","Escore","Oscore","Ascore","SS","Alcohol","Amphet","Amyl","Benzos","Choc","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Nscore","Cscore","Coke","Alcohol.Legalh","Legalh.Caff","Choc.Legalh","Country.Alcohol","Country.Caff","Cannabis"
1.82213,-0.48246,-2.43591,-0.57009,-0.31685,0.32197,1.06238,0.13136,-0.52593,6,1,2,1,4,0,0,0,0,1,0,1,6,0.31287,-0.65253,1,0,0,0,-3.42054,-3.42054,-2.28036,3
0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.94779,-1.27553,-0.01729,-0.52593,6,0,3,5,4,4,0,2,2,0,0,0,1,-0.14882,-0.65253,6,12,12,8,5.76492,5.76492,3.84328,2
-0.07854,-0.48246,0.45468,0.96082,0.1144,1.45421,0.44585,1.2861,0.07987,5,0,0,0,5,0,0,0,0,0,0,0,2,-1.05308,0.93949,0,0,0,0,4.8041,5.76492,4.8041,2
1.09449,0.48246,-0.61113,0.24923,-0.31685,0.63779,-1.11902,0.28783,-0.84637,3,0,0,0,4,0,0,0,0,1,0,0,2,0.31287,1.46191,0,0,0,0,0.74769,1.49538,0.99692,2
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.80523,0.29338,0.94156,-1.18084,5,0,0,0,4,0,0,0,0,0,0,0,0,-2.05048,1.13407,0,0,0,0,4.8041,5.76492,3.84328,2
-0.07854,0.48246,1.16365,0.96082,-0.22166,-0.57545,-1.97495,-0.91699,1.2247,6,0,0,0,6,0,0,0,0,0,0,0,5,0.82562,0.25953,0,0,0,0,5.76492,5.76492,5.76492,2
1.82213,0.48246,0.45468,0.96082,-0.31685,0.00332,-1.42424,0.28783,-1.54858,5,0,0,0,5,0,0,0,0,0,0,0,1,-0.14882,-0.78155,0,0,0,0,4.8041,5.76492,4.8041,2
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.63779,-1.97495,0.28783,-0.52593,1,0,0,0,3,0,0,0,0,0,0,0,0,-0.58016,0.7583,0,0,0,0,0.96082,5.76492,2.88246,2
1.09449,-0.48246,-1.22751,0.96082,-0.31685,0.63779,-0.01928,-0.45321,1.2247,5,1,1,0,5,3,1,3,3,1,0,2,6,0.22393,-0.40581,5,15,18,15,4.8041,5.76492,4.8041,5
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.30033,-0.71727,-0.60633,-1.18084,5,0,0,0,5,0,0,0,0,0,0,0,0,1.02119,-0.00665,0,0,0,0,4.8041,5.76492,4.8041,2
1.09449,-0.48246,1.98437,0.96082,-0.31685,0.47617,1.06238,-0.45321,-0.52593,6,1,0,1,5,0,0,0,0,1,0,1,1,-1.55078,0.93949,4,0,0,0,5.76492,5.76492,4.8041,6
-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.30033,1.06238,-0.91699,-0.21575,5,1,1,0,5,0,0,0,0,1,0,1,5,-0.34799,-0.14277,1,0,0,0,4.8041,5.76492,4.8041,2
0.49788,-0.48246,-0.05921,-0.28519,-0.31685,0.00332,0.29338,-0.15487,0.07987,5,1,1,0,6,2,0,1,1,1,0,1,1,-0.92104,-0.27607,3,5,5,6,-1.42595,-1.42595,-1.71114,2
2.59171,0.48246,-1.7379,0.96082,-0.31685,-1.7625,-2.8595,-1.47955,-2.07848,3,0,0,0,6,0,0,0,0,0,0,0,1,-1.1943,0.25953,0,0,0,0,2.88246,5.76492,5.76492,2
-0.07854,-0.48246,0.45468,0.96082,-0.31685,0.16767,-1.55521,-0.76096,-0.21575,5,0,0,0,6,0,0,0,0,0,0,0,0,-0.14882,-0.40581,0,0,0,0,4.8041,5.76492,5.76492,2
1.09449,0.48246,-1.43719,0.24923,-0.31685,-0.69509,-1.55521,0.43852,-2.07848,4,0,0,0,5,0,0,0,0,0,0,0,6,-0.34799,0.58489,0,0,0,0,0.99692,1.49538,1.24615,2
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.80615,-1.97495,1.11406,-0.21575,5,0,0,0,6,0,0,0,0,0,0,0,1,-0.34799,-0.65253,0,0,0,0,4.8041,5.76492,5.76492,2
1.82213,0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928,-0.91699,0.40148,5,1,1,1,6,0,1,0,0,1,1,1,1,-0.79151,-0.14277,1,0,0,0,4.8041,5.76492,5.76492,2
1.82213,-0.48246,1.16365,0.24923,-0.31685,1.45421,-0.97631,0.59042,-1.18084,5,0,0,0,6,0,0,0,0,0,0,0,0,-2.05048,1.46191,0,0,0,0,1.24615,1.49538,1.49538,2
1.82213,0.48246,-1.43719,0.96082,-0.22166,-0.94779,-1.11902,1.45039,-0.21575,3,0,0,5,6,0,0,0,0,0,0,0,6,1.02119,-1.64101,0,0,0,0,2.88246,5.76492,5.76492,2
0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.15487,-1.11902,0.13136,0.40148,5,0,1,0,5,0,0,0,0,0,0,0,6,0.73545,-0.14277,0,0,0,0,4.8041,5.76492,4.8041,2
0.49788,0.48246,-0.61113,0.96082,-0.31685,-1.92173,-1.42424,-0.76096,-2.07848,3,0,1,1,6,0,0,0,0,0,0,1,1,0.31287,-0.52745,0,0,0,0,2.88246,5.76492,5.76492,2
0.49788,0.48246,1.16365,0.96082,-0.31685,0.32197,0.7233,0.28783,0.07987,6,0,0,0,6,0,0,0,0,0,0,0,4,1.37297,-0.78155,0,0,0,0,5.76492,5.76492,5.76492,3
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.32197,1.06238,-1.6209,-0.21575,6,1,1,1,6,0,0,0,0,1,0,1,1,-0.46725,1.13407,1,0,0,0,5.76492,5.76492,5.76492,2
0.49788,0.48246,0.45468,0.24923,-0.31685,-1.09207,0.29338,-0.15487,-1.54858,4,1,0,0,6,0,0,0,0,1,0,1,3,0.13606,0.7583,1,0,0,0,0.99692,1.49538,1.49538,2
1.09449,0.48246,1.16365,0.96082,-0.31685,0.63779,-0.31776,-0.60633,-0.84637,5,1,0,1,5,0,0,0,0,0,0,0,2,-0.46725,-1.13788,1,0,0,0,4.8041,5.76492,4.8041,2
0.49788,-0.48246,1.98437,0.24923,-0.31685,-0.43999,-0.01928,-0.60633,1.2247,4,1,0,0,4,0,0,0,0,1,0,1,2,-1.1943,0.93949,1,0,0,0,0.99692,1.49538,0.99692,2
1.09449,0.48246,-0.05921,0.24923,-0.31685,0.63779,-0.31776,-0.30172,0.7654,4,0,0,0,6,0,0,0,0,0,0,0,0,0.04257,0.12331,0,0,0,0,0.99692,1.49538,1.49538,2
0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.47617,-1.82919,-0.76096,-1.54858,3,0,0,0,6,0,0,0,0,0,0,0,0,-2.21844,2.04506,0,0,0,0,2.88246,5.76492,5.76492,2
-0.07854,0.48246,-0.61113,0.96082,-0.31685,-0.30033,-1.82919,0.28783,-0.84637,4,0,0,0,5,0,0,0,0,0,0,0,0,1.02119,-0.40581,0,0,0,0,3.84328,4.8041,4.8041,2
0.49788,0.48246,-1.7379,0.96082,-0.31685,0.00332,-1.27553,-0.76096,-0.21575,5,3,0,0,6,0,0,0,0,0,0,0,6,0.13606,0.58489,3,0,0,0,4.8041,5.76492,5.76492,2
1.09449,0.48246,-0.61113,0.96082,-0.31685,0.47617,-1.42424,-0.91699,0.07987,5,1,0,0,6,0,0,0,0,0,0,0,3,-0.79151,-0.52745,0,0,0,0,4.8041,5.76492,5.76492,2
1.09449,-0.48246,1.16365,0.96082,-0.50212,0.32197,0.14143,-0.30172,-0.52593,5,0,0,0,6,0,0,0,0,0,0,0,0,-0.14882,-0.14277,0,0,0,0,4.8041,5.76492,5.76492,2
-0.07854,-0.48246,1.16365,0.96082,-0.31685,-1.09207,-0.84732,-0.60633,0.40148,6,1,0,0,0,0,0,0,0,1,0,1,0,0.31287,-0.65253,0,0,0,0,5.76492,5.76492,0,3
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.32197,0.88309,-1.21213,-0.21575,3,0,0,0,6,0,0,0,0,0,0,0,6,-1.1943,-0.78155,0,0,0,0,2.88246,5.76492,5.76492,2
-0.07854,0.48246,-0.05921,0.24923,-0.31685,-0.57545,-0.84732,0.28783,-2.07848,5,1,2,0,5,2,0,0,0,1,0,2,6,0.22393,1.13407,2,0,0,0,1.24615,1.49538,1.24615,2
0.49788,-0.48246,-0.05921,0.24923,-0.31685,-0.57545,0.14143,-1.772,-0.21575,4,0,0,0,6,0,0,0,0,0,0,0,6,0.62967,-0.40581,0,0,0,0,0.99692,0.99692,1.49538,2
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.80523,1.43533,0.13136,0.40148,5,1,1,3,5,3,2,2,2,2,0,3,4,1.60383,-1.13788,3,10,12,10,4.8041,5.76492,4.8041,2
0.49788,0.48246,-0.61113,-0.57009,-0.31685,-1.92173,-2.39883,1.11406,-1.54858,5,0,0,6,6,0,0,0,0,1,1,0,6,1.8399,0.25953,0,0,0,0,-2.85045,-3.42054,-3.42054,2
0.49788,0.48246,-0.05921,0.96082,-0.31685,-1.23177,-1.55521,-2.07848,0.07987,2,0,0,0,5,0,0,0,0,0,0,0,1,1.49158,-0.78155,0,0,0,0,1.92164,5.76492,4.8041,2
1.09449,-0.48246,-1.7379,0.96082,-0.31685,1.93886,0.29338,0.43852,-0.21575,3,0,0,0,5,0,0,0,0,0,0,0,0,-0.34799,0.58489,0,0,0,0,2.88246,5.76492,4.8041,2
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.63779,-1.11902,-0.45321,-0.84637,5,1,1,0,5,0,0,0,0,0,0,1,0,-1.1943,-0.00665,0,0,0,0,4.8041,4.8041,4.8041,2
0.49788,-0.48246,1.98437,0.96082,-0.50212,0.63779,0.14143,0.13136,-1.18084,0,0,0,2,3,0,0,0,0,0,0,0,1,0.04257,0.25953,0,0,0,0,0,0.96082,2.88246,2
1.09449,0.48246,1.16365,0.96082,-0.31685,0.96248,-1.11902,0.94156,0.40148,6,0,0,0,5,0,0,0,0,0,0,0,0,-0.79151,0.41594,0,0,0,0,5.76492,5.76492,4.8041,2
1.09449,0.48246,-1.7379,0.96082,-0.31685,0.32197,-1.42424,0.43852,-1.18084,5,0,0,0,4,0,0,0,0,0,0,0,0,0.91093,2.33337,0,0,0,0,4.8041,5.76492,3.84328,2
1.09449,0.48246,-1.7379,0.96082,0.1144,-0.15487,-1.27553,2.46262,-2.07848,4,0,0,2,5,0,0,0,0,0,0,0,6,-1.55078,0.58489,0,0,0,0,3.84328,5.76492,4.8041,2
0.49788,0.48246,-1.22751,0.21128,-0.31685,-0.57545,-0.58331,-0.15487,-1.54858,4,0,0,0,6,0,0,0,0,0,0,0,6,-0.24649,0.25953,0,0,0,0,0.84512,1.26768,1.26768,2
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.16767,0.29338,-0.15487,0.40148,5,0,0,1,5,0,0,0,0,0,0,0,5,-0.05188,0.12331,0,0,0,0,4.8041,5.76492,4.8041,2
-0.07854,0.48246,1.16365,0.96082,0.126,-1.50796,-0.31776,0.59042,0.40148,6,1,0,0,6,0,0,0,0,0,0,0,2,3.27393,-0.65253,2,0,0,0,5.76492,5.76492,5.76492,2
0.49788,0.48246,-1.7379,0.96082,-0.31685,1.58487,-0.58331,1.81866,-0.52593,1,0,0,0,5,0,0,0,0,0,0,0,0,-1.69163,1.63088,0,0,0,0,0.96082,5.76492,4.8041,2
1.09449,-0.48246,-1.7379,0.96082,-0.31685,0.32197,-0.58331,0.94156,-0.21575,6,0,0,0,5,0,0,0,0,0,0,0,6,-0.05188,-0.27607,0,0,0,0,5.76492,5.76492,4.8041,2
-0.07854,0.48246,0.45468,0.96082,-0.50212,0.32197,1.43533,0.94156,-0.21575,5,0,0,2,5,0,0,0,0,0,0,0,0,1.98437,-0.27607,0,0,0,0,4.8041,5.76492,4.8041,2
0.49788,0.48246,-1.7379,0.96082,-0.31685,0.63779,-1.11902,1.2861,-2.07848,5,0,0,0,5,0,0,0,0,0,0,0,5,-0.79151,0.58489,0,0,0,0,4.8041,4.8041,4.8041,2
1.09449,-0.48246,-0.05921,0.24923,-0.31685,-1.09207,-0.45174,-1.21213,0.7654,6,0,0,0,5,0,0,0,0,1,0,1,1,0.13606,-0.00665,0,0,0,0,1.49538,1.49538,1.24615,3
1.09449,0.48246,0.45468,0.96082,-0.31685,0.16767,-1.11902,2.23427,0.40148,4,0,0,1,5,0,0,0,0,0,0,0,1,-0.46725,0.7583,0,0,0,0,3.84328,5.76492,4.8041,2
1.09449,0.48246,0.45468,0.96082,-0.31685,1.93886,-0.71727,2.03972,-1.18084,4,0,0,0,6,0,0,0,0,0,0,0,1,-0.79151,1.63088,0,0,0,0,3.84328,2.88246,5.76492,2
0.49788,0.48246,0.45468,0.96082,-0.31685,-1.6334,-1.82919,0.43852,-0.84637,5,0,0,0,6,2,0,0,0,0,0,0,2,0.52135,-0.89891,0,0,0,0,4.8041,5.76492,5.76492,2
-0.07854,0.48246,0.45468,0.96082,-0.31685,-1.50796,-0.71727,-0.60633,-1.54858,5,0,1,2,4,1,0,0,2,0,0,1,5,-0.46725,-0.65253,1,10,12,8,4.8041,5.76492,3.84328,2
-0.95197,0.48246,-0.61113,0.96082,-0.31685,-1.37639,0.7233,-0.45321,0.7654,5,0,0,5,6,0,0,0,0,0,0,0,0,2.82196,0.58489,0,0,0,0,4.8041,5.76492,5.76492,2
-0.07854,-0.48246,-1.7379,0.96082,-0.31685,1.11406,-1.82919,-0.45321,0.7654,6,0,0,0,6,0,0,0,0,0,0,0,1,-1.05308,0.7583,0,0,0,0,5.76492,5.76492,5.76492,2
1.09449,-0.48246,1.16365,-0.28519,-0.31685,0.80523,0.44585,-0.15487,0.40148,5,1,1,1,6,2,0,0,0,1,0,1,3,1.02119,0.25953,1,0,0,0,-1.42595,-1.71114,-1.71114,6
0.49788,-0.48246,0.45468,0.96082,-1.10702,0.32197,-0.84732,1.81866,-1.18084,5,0,0,0,5,0,0,0,0,0,0,0,4,-0.67825,-0.40581,0,0,0,0,4.8041,5.76492,4.8041,2
-0.07854,0.48246,0.45468,-0.46841,-0.31685,0.00332,-0.17779,1.61108,-0.21575,3,0,0,0,6,2,0,0,2,0,0,0,1,0.22393,0.93949,0,6,10,12,-1.40523,-2.34205,-2.81046,2
-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-1.23177,0.7233,-2.35413,0.07987,5,0,0,0,5,0,0,0,2,0,0,3,6,1.49158,-1.92173,3,10,10,10,4.8041,4.8041,4.8041,4
-0.07854,0.48246,0.45468,0.96082,-0.31685,1.2861,-1.27553,-0.30172,0.40148,5,0,0,0,6,0,0,0,0,0,0,0,1,0.22393,-1.13788,2,0,0,0,4.8041,5.76492,5.76492,2
-0.95197,0.48246,-1.22751,0.96082,-0.31685,0.00332,-1.42424,0.59042,0.40148,5,0,3,0,5,0,0,0,0,0,0,0,4,-0.34799,-0.14277,0,0,0,0,4.8041,5.76492,4.8041,2
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.96248,2.15324,0.76096,1.92173,6,0,1,0,6,0,0,0,0,0,0,1,1,-0.34799,-0.78155,0,0,0,0,5.76492,5.76492,5.76492,2
1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.57545,-0.45174,-0.45321,-1.18084,5,0,0,0,6,0,0,0,0,1,0,1,5,0.52135,0.7583,0,0,0,0,4.8041,5.76492,5.76492,2
0.49788,0.48246,0.45468,0.96082,-0.31685,0.63779,1.24033,0.13136,0.40148,6,0,0,0,5,0,0,0,0,0,0,0,0,1.02119,0.25953,0,0,0,0,5.76492,5.76492,4.8041,2
0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.57545,-2.21069,0.76096,0.07987,6,0,0,2,5,0,0,0,0,0,0,0,6,1.02119,-1.5184,0,0,0,0,5.76492,5.76492,4.8041,2
1.82213,0.48246,0.45468,0.96082,-0.31685,0.00332,0.44585,1.2861,0.07987,5,0,0,0,6,0,0,0,0,0,0,0,3,0.62967,0.12331,0,0,0,0,4.8041,5.76492,5.76492,2
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.94779,-0.45174,0.76096,-0.21575,5,1,0,0,6,0,0,0,0,0,0,1,6,0.82562,-0.14277,0,0,0,0,4.8041,5.76492,5.76492,2
0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.15487,-0.97631,1.11406,-1.18084,5,1,0,0,4,1,0,0,0,1,0,1,6,0.41667,-0.65253,1,0,0,0,4.8041,5.76492,3.84328,2
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.63779,-1.55521,0.28783,0.07987,5,0,0,0,5,0,0,0,0,0,0,0,2,0.31287,0.93949,0,0,0,0,4.8041,5.76492,4.8041,2
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.80523,-0.31776,1.2861,-1.18084,5,0,0,0,4,0,0,0,0,0,0,0,0,0.31287,0.7583,0,0,0,0,4.8041,0,3.84328,2
1.82213,-0.48246,-1.22751,0.96082,-0.31685,-0.80615,-0.97631,0.59042,-1.18084,6,0,0,0,5,0,0,0,0,0,0,0,6,0.04257,0.25953,0,0,0,0,5.76492,5.76492,4.8041,2
0.49788,0.48246,0.45468,0.24923,-0.31685,0.63779,-0.01928,0.76096,-0.52593,5,0,0,0,5,0,0,0,0,1,0,1,0,0.31287,-0.14277,1,0,0,0,1.24615,1.49538,1.24615,3
1.82213,0.48246,-1.7379,0.96082,-0.31685,-0.80615,-1.97495,1.11406,-1.54858,4,0,0,0,5,0,0,0,0,0,0,0,1,-0.79151,0.58489,0,0,0,0,3.84328,2.88246,4.8041,2
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.00332,-0.84732,0.59042,-1.54858,5,0,0,1,5,0,0,0,0,0,0,0,0,-1.43907,-0.27607,0,0,0,0,4.8041,2.88246,4.8041,2
1.09449,0.48246,0.45468,0.96082,-0.31685,-1.09207,-0.45174,0.13136,0.07987,5,0,0,0,5,0,0,0,0,0,0,1,0,0.31287,0.12331,0,0,0,0,4.8041,5.76492,4.8041,2
-0.95197,-0.48246,0.45468,0.96082,-1.10702,0.32197,-0.58331,1.2861,-1.18084,4,0,0,0,4,0,0,0,0,0,0,0,0,-0.58016,-0.89891,0,0,0,0,3.84328,4.8041,3.84328,2
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.47617,0.58331,0.76096,1.2247,6,5,5,2,6,3,2,3,3,3,0,3,6,-0.05188,-0.00665,5,18,15,18,5.76492,4.8041,5.76492,6
1.09449,0.48246,-0.05921,0.96082,-0.31685,2.32338,0.7233,1.81866,0.07987,4,4,1,1,5,6,0,2,2,4,0,3,6,-0.46725,1.30612,3,8,12,10,3.84328,5.76492,4.8041,4
-0.95197,0.48246,0.45468,0.96082,-0.31685,0.16767,-0.84732,1.11406,1.2247,6,0,0,0,6,0,0,0,0,0,0,0,0,-0.58016,1.46191,0,0,0,0,5.76492,4.8041,5.76492,2
0.49788,-0.48246,1.16365,0.96082,0.1144,-0.94779,-0.58331,-1.34289,-0.84637,5,3,3,2,6,4,0,2,2,2,0,2,4,-0.14882,1.30612,4,10,12,12,4.8041,5.76492,5.76492,2
0.49788,0.48246,0.45468,0.96082,-0.31685,1.2861,-0.45174,0.94156,-0.84637,6,0,0,3,2,0,0,0,0,0,0,0,1,-0.67825,1.13407,0,0,0,0,5.76492,5.76492,1.92164,2
0.49788,0.48246,-1.7379,0.96082,-0.31685,1.11406,0.29338,-0.91699,0.40148,5,0,0,3,6,0,0,0,0,0,0,0,0,-0.14882,-1.0145,0,0,0,0,4.8041,5.76492,5.76492,2
-0.95197,0.48246,0.45468,0.96082,-0.31685,1.2861,0.58331,0.13136,0.07987,5,0,0,0,6,0,0,0,0,0,0,0,0,-0.05188,0.41594,0,0,0,0,4.8041,5.76492,5.76492,2
0.49788,0.48246,-0.05921,0.96082,-0.31685,0.47617,-0.58331,0.59042,0.40148,5,1,4,1,3,1,0,1,3,1,0,1,6,-0.67825,-0.14277,2,15,18,9,4.8041,5.76492,2.88246,6
0.49788,0.48246,0.45468,0.96082,-0.31685,0.00332,-0.17779,-0.30172,1.2247,4,1,1,0,5,3,0,3,3,2,0,3,6,0.13606,-0.00665,4,12,18,15,3.84328,5.76492,4.8041,6
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.63779,-0.84732,1.81866,-1.18084,6,1,1,0,5,1,0,0,0,1,0,1,6,0.13606,0.58489,0,0,0,0,5.76492,5.76492,4.8041,2
1.09449,0.48246,-0.05921,0.21128,-0.31685,-0.15487,-1.27553,0.94156,-1.54858,5,0,0,1,6,0,0,0,0,0,0,0,0,0.52135,0.12331,0,0,0,0,1.0564,1.26768,1.26768,2
-0.07854,0.48246,0.45468,0.24923,-0.31685,-0.30033,-0.71727,1.11406,0.07987,5,2,0,0,4,3,0,0,0,0,0,2,3,1.60383,-0.40581,3,0,0,0,1.24615,1.49538,0.99692,4
-0.07854,0.48246,-0.05921,0.96082,-0.31685,1.11406,0.29338,1.45039,0.7654,5,1,1,0,5,1,0,3,0,0,0,0,3,0.22393,-0.00665,2,0,0,0,4.8041,5.76492,4.8041,2
-0.07854,0.48246,1.16365,-0.28519,-0.31685,1.11406,-0.84732,-1.07533,-0.52593,4,0,0,0,6,0,0,0,0,0,0,2,3,0.31287,0.7583,0,0,0,0,-1.14076,-1.71114,-1.71114,3
-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.30033,0.29338,-0.01729,0.07987,5,0,2,0,5,2,0,0,3,0,0,0,3,0.82562,0.12331,0,15,18,15,4.8041,5.76492,4.8041,3
1.09449,0.48246,0.45468,0.96082,-0.31685,1.45421,0.29338,0.43852,-0.21575,5,0,0,0,6,0,0,0,0,0,0,0,0,-0.46725,0.7583,0,0,0,0,4.8041,0,5.76492,2
0.49788,0.48246,-0.05921,0.96082,-0.31685,-2.21069,-1.82919,0.59042,-1.54858,5,0,0,2,6,0,0,0,0,0,0,0,3,1.02119,0.41594,0,0,0,0,4.8041,4.8041,5.76492,2
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.80523,-1.42424,0.94156,0.40148,6,0,0,0,4,0,0,0,0,0,0,0,0,-0.67825,0.25953,0,0,0,0,5.76492,5.76492,3.84328,2
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.96248,-0.01928,-0.91699,0.40148,4,0,0,0,6,0,0,0,0,0,0,0,2,0.41667,1.63088,0,0,0,0,3.84328,5.76492,5.76492,2
-0.07854,0.48246,1.16365,0.96082,-0.31685,0.32197,-0.17779,0.43852,-0.21575,6,0,0,0,6,0,0,0,0,0,0,0,0,1.49158,0.41594,0,0,0,0,5.76492,5.76492,5.76492,2
-0.07854,0.48246,-1.7379,0.96082,-0.31685,-0.15487,-2.21069,0.28783,-2.07848,5,1,1,0,6,0,0,0,0,0,0,0,6,0.91093,1.30612,0,0,0,0,4.8041,5.76492,5.76492,3
-0.95197,0.48246,-1.22751,0.96082,-0.31685,-0.15487,-0.71727,-0.60633,-0.21575,4,0,0,0,6,0,0,0,0,0,0,0,0,0.52135,0.25953,0,0,0,0,3.84328,5.76492,5.76492,2
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.63779,0.7233,1.61108,-0.84637,5,0,0,0,5,0,0,0,0,0,0,0,0,-1.86962,0.25953,0,0,0,0,4.8041,5.76492,4.8041,2
